area,annual_income,ird_rate_income,difference_annual_million
ဟံသာဝတီ ပျိုးခြံ ငှားရမ်းမှု,144,319.382,175.382
စက်ရုံလမ်း ငှားရမ်းမှု,21.6,113.748,92.148
